qid	query
134	Snowfall Sensor Data Monitoring
135	Calcium Carbonate Sediment Analysis
136	Ultra-Violet Measurement Methods
137	Ocean Temperature and Salinity Profiles
138	Operational Circulation Model Analysis
139	Tree-Ring Measurements Analysis
140	Fort Peck Radiation Overview
141	Radiation Measurements in Alice Springs
142	Pore Water Chemistry Studies
143	ODP Hole Section Analysis
144	Water Temperature Measurement Floats
145	Sea Level Historical Data Analysis
146	Water Temperature Profile Analysis
147	Sea Level Monitoring Techniques
148	Southern Elephant Seal Behavior Analysis
149	Underway CO2 Measurement Techniques
150	Gamma Ray Attenuation Studies
151	Sediment Core Age Assessment
152	X-Ray Diffraction Analysis Techniques
153	Marine Investigations Campaign Overview
154	Sediment Volume Susceptibility Analysis
155	Water Level Observations and Analysis
156	Snow and Ice Characteristics Analysis
157	Benthic Foraminifera Diversity and Planning
158	Coastal Sea Level Measurements
159	Global Tide Gauge Data
160	Black Spruce Tree-Ring Analysis
161	Nitrogen Uptake Rate Analysis
162	RAFOS Float Data Analysis
163	Primary Production Monitoring and Analysis
164	Biogenic Silica Measurements Analysis
165	Ocean Radiance and Irradiance Analysis
166	Sea Ice Altimetry Data Analysis
167	Microzooplankton Biomass and Abundance
168	Carbon and Nitrogen Assessment
169	Sediment Analysis Overview
170	Interstitial Water Chemistry Studies
171	Hydrochemistry in Ocean Cruises
172	Nauru Island Radiation Studies
173	Ice Thickness Measurements Overview
174	Baltic Sea Marine Monitoring
175	Meteorological Observations in Ny-Ã…lesund
176	Sediment Analysis Techniques
177	Radiation Measurements in Springs
178	Sea Level Data Archive
179	Sediment Size Distribution Analysis
180	Baltic Marine Monitoring Activities
181	Tree-Ring Analysis and Chronologies
182	Urban Development Plans Overview
183	Tree-Ring Analysis of Picea
184	Water Sample Hydrochemistry Analysis
185	Sea Level Measurements in Wismar
186	Sediment Core Color Analysis
187	Echolotdaten Nordsee Analysis
188	Boulder Radiosonde Measurement Records
189	Multibeam Bathymetric Data Analysis
190	Radiation Measurements in Florianopolis
191	Physical Oceanography Data Integration
192	Quercus Tree-Ring Research Netherlands
193	Planktic Foraminifera Abundance Studies
194	Current Meter Data Stations
195	Hornbaek Sea Level Data
196	Silver Fir Tree-Ring Studies
197	Helicopter Flight Data Analysis
198	Ny-Ã…lesund Measurement Data Expansion
199	Hydrology and Measurement Data
200	Neumayer Station Meteorological Data
201	Marine Investigations and Surveys
202	Sediment Core Analysis Techniques
203	Gas Measurements and Analysis
204	Earthquake and Seismic Studies
205	Upper Air Meteorological Research
206	Climate Scenarios and Projections
207	Clay Mineral Composition Studies
208	Sea Ice Temperature Monitoring
209	Urban Oceanography and Planning Insights
210	Fission Track Dating in Malawi
211	Urban Planning Documentation Overview
212	Chlorophyll Measurements in Marine Waters
213	Topographic Mapping Historical Overview
214	South China Sea Oceanographic Studies
215	Lake Sediment Analysis Techniques
